MINISTERIO DE DEFENSA NACIONAL;;;;;;;
POLICÍA NACIONAL;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL;;;;;;;
GRUPO DE INFORMACIÓN DE CRIMINALIDAD;;;;;;;
HURTO A PERSONAS ;;;;;;;
PERÍODO DEL 01 DE ENERO AL 28 DE FEBRERO DE AÑO 2022;;;;;;;
ARMAS MEDIO;DEPARTAMENTO ;MUNICIPIO;FECHA  HECHO ;GENERO;*AGRUPA EDAD PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);15/01/2022;MASCULINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);23/02/2022;FEMENINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);26/02/2022;MASCULINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;26/01/2022;MASCULINO;ADULTOS;05034000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;13/02/2022;MASCULINO;ADULTOS;05034000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;02/01/2022;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;08/01/2022;FEMENINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;11/01/2022;FEMENINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;13/01/2022;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;16/01/2022;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;18/01/2022;FEMENINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;29/01/2022;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;02/02/2022;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;05/02/2022;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;18/02/2022;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;20/02/2022;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;21/02/2022;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;25/02/2022;FEMENINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;06/01/2022;FEMENINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;29/01/2022;FEMENINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;03/02/2022;FEMENINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;13/02/2022;FEMENINO;ADULTOS;05079000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;25/02/2022;FEMENINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;02/01/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;03/01/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;05/01/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;06/01/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;15/01/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;16/01/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;16/01/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;21/01/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;24/01/2022;MASCULINO;ADULTOS;05088000;4
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;25/01/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;26/01/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;27/01/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;28/01/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;30/01/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;31/01/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;31/01/2022;MASCULINO;ADOLESCENTES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;01/02/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;04/02/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;06/02/2022;MASCULINO;ADULTOS;05088000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;07/02/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;09/02/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;14/02/2022;FEMENINO;ADULTOS;05088000;1
